PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
2544,278,277,9795.0,2872,5661,645,1862,1225,1717,280,1972,2212,321,185,1000,491,7614
76526,283,116,6027.0,987,2279,18.0,80.0,708,832,104,264,1186,179,18,442.0,434,2700
101108,322,322,10293.0,1832,3890,501,1377,899,1025,136,1324,2793,536,90,736,730,5064
200752,310,58,6515.0,1172,2636,357,1015,426,513,254,1286,497,178,144,351,540,3127
200768,287,276,9764.0,1370,3250,703,1942,859,1006,184,1174,2090,342,109,757,819,4302
200782,250,211,6613.0,435,1007,215,571,106,140,297,793,331,175,70,190,591,1191
201142,184,181,6548.0,1868,3442,386,949,1196,1315,76,1204,1016,141,231,623,381,5318
201143,295,289,8707.0,1362,2840,462,1228,252,313,433,1589,1068,215,326,313,567,3438
201144,257,255,7612.0,1150,2651,577,1451,532,642,149,609,1590,312,58,428,518,3409
201145,247,109,5735.0,857,1731,248,705,450,567,137,634,323,108,90,213,461,2412
201152,226,34,4137.0,760,1404,52,175,135,237,399,606,574,236,81,283,402,1707
201565,153,10,3532.0,757,1655,156,413,261,297,69,309,567,127,55,217,145,1931
201566,289,191,9299.0,1956,4453,343,1110,949,1440,397,1779,2415,316,109,1117,749,5204
201567,223,69,4766.0,760,1861,442,1225,368,431,222,1298,455,74,44,276,321,2330
201568,268,173,7458.0,1334,3029,590,1470,1016,1121,149,1210,515,162,60,282,432,4274
201569,222,175,6390.0,1009,2237,457,1223,483,595,55,384,591,128,81,366,263,2958
201572,310,307,8711.0,1507,3127,539,1535,528,640,371,1257,352,182,653,335,738,4081
201577,284,61,4829.0,878,1533,51,164,262,385,428,468,262,40,193,303,439,2069
201580,265,49,3557.0,848,1381,13,48,288,429,440,936,139,68,254,313,550,1997
201587,301,186,7867.0,811,1823,472,1206,193,243,237,1122,682,269,174,282,512,2287
201599,192,91,3076.0,462,650,1,2,112,220,335,822,169,53,158,207,329,1037
201935,196,196,7264.0,1245,2961,482,1386,1306,1493,155,1240,2035,242,109,797,432,4278
201937,268,193,7223.0,985,2509,303,940,636,742,131,850,1759,358,38,585,612,2909
201939,257,257,8774.0,2417,5144,1261,3049,1183,1287,151,1265,1513,311,78,806,543,7278
201942,356,356,12485.0,3074,6120,131,438,2110,2448,228,1603,2028,363,131,816,849,8389
201950,321,313,10816.0,2387,4965,641,1724,733,946,373,1164,2235,491,193,901,640,6148
201959,278,122,5073.0,721,1272,41,125,287,382,502,795,238,148,170,195,628,1770
201976,229,222,5942.0,558,1376,299,861,226,308,179,674,732,222,162,227,656,1641
