original_name,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Number of College Seasons,Number of College Teams,Current_Contract,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
bradley-beal,37,37.0,1267.0,175,393,112.0,207.0,63.0,186.0,133,173,50.0,199.0,249,83,51.0,31.0,79.0,76.0,546,1,1,46741590.0,Washington,Wizards,WAS,Florida,2012,1.0,3.0,3.0
brandin-podziemski,96,64.0,2442.0,460,958,292.0,562.0,168.0,396.0,228,296,118.0,472.0,590,244,116.0,30.0,154.0,136.0,1316,2,2,3352440.0,Golden State,Warriors,GSW,Santa Clara,2023,1.0,19.0,19.0
brandon-boston jr.,25,24.0,759.0,103,290,73.0,190.0,30.0,100.0,51,65,33.0,79.0,112,40,33.0,4.0,36.0,49.0,287,1,1,1836096.0,Memphis,Grizzlies,MEM,Kentucky,2021,2.0,21.0,51.0
brandon-clarke,196,138.0,5450.0,1170,1832,1158.0,1784.0,12.0,48.0,486,786,536.0,968.0,1504,370,200.0,464.0,288.0,422.0,2838,3,2,12500000.0,Oklahoma City,Thunder,OKC,Gonzaga,2019,1.0,21.0,21.0
brandon-ingram,36,34.0,1246.0,214,484,134.0,289.0,80.0,195.0,116,170,67.0,177.0,244,72,41.0,49.0,72.0,74.0,624,1,1,33833400.0,Los Angeles,Lakers,LAL,Duke,2016,1.0,2.0,2.0
brandon-miller,60,1.0,227.0,11,43,5.0,22.0,6.0,21.0,6,13,29.0,15.0,46,10,10.0,3.0,10.0,19.0,34,4,1,10880400.0,Charlotte,Hornets,CHA,Alabama,2023,1.0,2.0,2.0
brice-sensabaugh,33,21.0,809.0,197,410,137.0,262.0,60.0,148.0,83,100,42.0,135.0,177,38,18.0,13.0,67.0,82.0,537,1,1,2448600.0,Utah,Jazz,UTA,Ohio State,2023,1.0,28.0,28.0
brook-lopez,53,43.0,1485.0,324,675,321.0,654.0,3.0,21.0,198,259,122.0,255.0,377,57,27.0,101.0,112.0,137.0,849,2,1,25000000.0,New Jersey,Nets,NJN,Stanford,2008,1.0,10.0,10.0
bruce-brown,114,75.0,2322.0,427,709,427.0,709.0,0.0,0.0,170,362,201.0,366.0,567,44,20.0,139.0,206.0,264.0,1024,4,1,22000000.0,Detroit,Pistons,DET,Miami (FL),2018,2.0,12.0,42.0
bruno-fernando,64,53.0,1692.0,291,489,287.0,476.0,4.0,13.0,184,241,145.0,413.0,558,89,33.0,101.0,148.0,179.0,770,2,1,2581522.0,Philadelphia,76ers,PHI,Maryland,2019,2.0,4.0,34.0
bryce-mcgowens,31,31.0,1032.0,160,397,120.0,251.0,40.0,146.0,162,195,22.0,139.0,161,43,22.0,10.0,65.0,62.0,522,1,1,1719864.0,Minnesota,Timberwolves,MIN,Nebraska,2022,2.0,10.0,40.0
buddy-hield,132,118.0,4182.0,783,1748,434.0,854.0,349.0,894.0,376,450,209.0,452.0,661,254,168.0,38.0,285.0,259.0,2291,4,1,19279841.0,New Orleans,Pelicans,NOP,Oklahoma,2016,1.0,6.0,6.0
cade-cunningham,27,26.0,956.0,175,400,113.0,245.0,62.0,155.0,132,156,19.0,148.0,167,94,43.0,21.0,109.0,67.0,544,1,1,11055360.0,Detroit,Pistons,DET,Oklahoma State,2021,1.0,1.0,1.0
caleb-houstan,34,34.0,1088.0,109,284,49.0,115.0,60.0,169.0,65,83,27.0,108.0,135,46,25.0,8.0,52.0,57.0,343,1,1,2000000.0,Orlando,Magic,ORL,Michigan,2022,2.0,2.0,32.0
cam-reddish,36,35.0,1069.0,154,432,65.0,165.0,89.0,267.0,88,114,20.0,113.0,133,70,56.0,21.0,96.0,86.0,485,1,1,2165000.0,Atlanta,Hawks,ATL,Duke,2019,1.0,10.0,10.0
cam-whitmore,26,20.0,709.0,122,255,85.0,147.0,37.0,108.0,45,64,21.0,117.0,138,19,37.0,9.0,42.0,44.0,326,1,1,3218160.0,Houston,Rockets,HOU,Villanova,2023,1.0,20.0,20.0
